HOURLY,HOUR,TEMP,RH,WD,WS,PRECIP
2021-07-25, 00, 7.7, 49, 360, 5, 0.00
2021-07-25, 01, 7.2, 50, 347, 4, 0.00
2021-07-25, 02, 6.7, 52, 326, 4, 0.00
2021-07-25, 03, 6.2, 53, 298, 3, 0.00
2021-07-25, 04, 6.3, 53, 304, 3, 0.00
2021-07-25, 05, 6.4, 53, 309, 3, 0.00
2021-07-25, 06, 6.5, 53, 314, 3, 0.00
2021-07-25, 07, 9.0, 47, 329, 3, 0.00
2021-07-25, 08, 11.4, 41, 349, 3, 0.00
2021-07-25, 09, 13.9, 35, 010, 3, 0.00
2021-07-25, 10, 15.6, 32, 002, 3, 0.00
2021-07-25, 11, 17.2, 29, 215, 2, 0.00
2021-07-25, 12, 18.9, 26, 201, 2, 0.00
2021-07-25, 13, 19.5, 25, 258, 5, 0.00
2021-07-25, 14, 20.0, 23, 273, 8, 0.00
2021-07-25, 15, 20.6, 22, 279, 11, 0.00
2021-07-25, 16, 21.0, 22, 280, 11, 0.00
2021-07-25, 17, 21.3, 22, 280, 12, 0.00
2021-07-25, 18, 21.7, 22, 281, 12, 0.00
2021-07-25, 19, 21.0, 25, 270, 11, 0.00
2021-07-25, 20, 20.4, 27, 254, 9, 0.00
2021-07-25, 21, 19.7, 30, 235, 8, 0.00
2021-07-25, 22, 17.7, 34, 227, 10, 0.00
2021-07-25, 23, 15.8, 38, 221, 11, 0.00
2021-07-26, 00, 13.8, 42, 216, 13, 0.00
2021-07-26, 01, 13.7, 46, 223, 14, 0.00
2021-07-26, 02, 13.7, 51, 228, 14, 0.00
2021-07-26, 03, 13.6, 55, 234, 15, 0.00
2021-07-26, 04, 13.8, 54, 246, 13, 0.00
2021-07-26, 05, 14.1, 53, 264, 11, 0.00
2021-07-26, 06, 14.3, 52, 288, 9, 0.00
2021-07-26, 07, 15.3, 49, 310, 11, 0.00
2021-07-26, 08, 16.2, 45, 328, 12, 0.00
2021-07-26, 09, 17.2, 42, 341, 14, 0.00
2021-07-26, 10, 16.3, 51, 332, 14, 0.02
2021-07-26, 11, 15.4, 61, 325, 15, 0.02
2021-07-26, 12, 14.5, 70, 317, 15, 0.02
2021-07-26, 13, 14.2, 75, 302, 15, 0.33
2021-07-26, 14, 14.0, 79, 286, 16, 0.33
2021-07-26, 15, 13.7, 84, 271, 16, 0.33
2021-07-26, 16, 15.2, 70, 285, 18, 0.00
2021-07-26, 17, 16.8, 55, 296, 21, 0.00
2021-07-26, 18, 18.3, 41, 304, 23, 0.00
2021-07-26, 19, 17.0, 43, 319, 22, 0.00
2021-07-26, 20, 15.6, 45, 338, 20, 0.00
2021-07-26, 21, 14.3, 47, 359, 19, 0.00
2021-07-26, 22, 12.6, 53, 358, 16, 0.00
2021-07-26, 23, 10.8, 58, 358, 13, 0.00
2021-07-27, 00, 9.1, 64, 357, 10, 0.00
2021-07-27, 01, 8.1, 68, 349, 9, 0.00
2021-07-27, 02, 7.2, 71, 338, 8, 0.00
2021-07-27, 03, 6.2, 75, 324, 7, 0.00
2021-07-27, 04, 6.8, 72, 320, 6, 0.00
2021-07-27, 05, 7.3, 70, 314, 6, 0.00
2021-07-27, 06, 7.9, 67, 308, 5, 0.00
2021-07-27, 07, 8.6, 65, 309, 4, 0.00
2021-07-27, 08, 9.2, 62, 310, 2, 0.00
2021-07-27, 09, 9.9, 60, 314, 1, 0.00
2021-07-27, 10, 10.4, 59, 297, 1, 0.00
2021-07-27, 11, 10.8, 57, 289, 2, 0.00
2021-07-27, 12, 11.3, 56, 283, 2, 0.00
2021-07-27, 13, 12.4, 53, 244, 3, 0.00
2021-07-27, 14, 13.4, 51, 223, 4, 0.00
2021-07-27, 15, 14.5, 48, 213, 5, 0.00
2021-07-27, 16, 14.5, 51, 229, 6, 0.02
2021-07-27, 17, 14.5, 55, 240, 8, 0.02
2021-07-27, 18, 14.5, 58, 249, 9, 0.02
2021-07-27, 19, 14.8, 61, 251, 6, 0.04
2021-07-27, 20, 15.0, 64, 261, 4, 0.04
2021-07-27, 21, 15.3, 67, 009, 1, 0.04
2021-07-27, 22, 14.4, 70, 156, 3, 0.02
2021-07-27, 23, 13.5, 73, 163, 5, 0.02
2021-07-28, 00, 12.6, 76, 164, 7, 0.02
2021-07-28, 01, 12.6, 78, 182, 8, 0.00
2021-07-28, 02, 12.5, 79, 196, 8, 0.00
2021-07-28, 03, 12.5, 81, 206, 9, 0.00
2021-07-28, 04, 11.9, 83, 213, 9, 0.00
2021-07-28, 05, 11.2, 84, 220, 10, 0.00
2021-07-28, 06, 10.6, 86, 226, 10, 0.00
2021-07-28, 07, 13.0, 75, 219, 11, 0.00
2021-07-28, 08, 15.3, 63, 213, 11, 0.00
2021-07-28, 09, 17.7, 52, 208, 12, 0.00
2021-07-28, 10, 19.3, 47, 206, 13, 0.00
2021-07-28, 11, 21.0, 43, 204, 14, 0.00
2021-07-28, 12, 22.6, 38, 202, 15, 0.00
2021-07-28, 13, 23.2, 37, 218, 15, 0.00
2021-07-28, 14, 23.9, 35, 234, 16, 0.00
2021-07-28, 15, 24.5, 34, 248, 16, 0.00
2021-07-28, 16, 23.0, 40, 282, 18, 0.02
2021-07-28, 17, 21.6, 45, 314, 21, 0.02
2021-07-28, 18, 20.1, 51, 333, 23, 0.02
2021-07-28, 19, 18.5, 57, 328, 19, 0.02
2021-07-28, 20, 16.8, 64, 320, 14, 0.02
2021-07-28, 21, 15.2, 70, 304, 10, 0.02
2021-07-28, 22, 14.4, 73, 315, 10, 0.02
2021-07-28, 23, 13.7, 76, 326, 10, 0.02
2021-07-29, 00, 12.9, 79, 337, 10, 0.02
2021-07-29, 01, 12.2, 83, 324, 11, 0.00
2021-07-29, 02, 11.5, 88, 313, 11, 0.00
2021-07-29, 03, 10.8, 92, 304, 12, 0.00
2021-07-29, 04, 10.4, 93, 302, 12, 0.00
2021-07-29, 05, 10.1, 93, 301, 11, 0.00
2021-07-29, 06, 9.7, 94, 300, 11, 0.00
2021-07-29, 07, 11.0, 86, 304, 11, 0.00
2021-07-29, 08, 12.3, 77, 307, 11, 0.00
2021-07-29, 09, 13.6, 69, 311, 11, 0.00
2021-07-29, 10, 15.0, 61, 311, 12, 0.00
2021-07-29, 11, 16.5, 52, 310, 13, 0.00
2021-07-29, 12, 17.9, 44, 310, 14, 0.00
2021-07-29, 13, 17.9, 45, 307, 15, 0.00
2021-07-29, 14, 17.9, 47, 303, 17, 0.00
2021-07-29, 15, 17.9, 48, 301, 18, 0.00
2021-07-29, 16, 18.1, 48, 299, 17, 0.00
2021-07-29, 17, 18.3, 47, 296, 15, 0.00
2021-07-29, 18, 18.5, 47, 293, 14, 0.00
2021-07-29, 19, 18.0, 49, 291, 12, 0.00
2021-07-29, 20, 17.6, 52, 289, 11, 0.00
2021-07-29, 21, 17.1, 54, 286, 9, 0.00
2021-07-29, 22, 15.4, 61, 283, 9, 0.00
2021-07-29, 23, 13.7, 68, 280, 10, 0.00
2021-07-30, 00, 12.0, 75, 277, 10, 0.00
2021-07-30, 01, 11.7, 77, 278, 10, 0.00
2021-07-30, 02, 11.3, 79, 278, 9, 0.00
2021-07-30, 03, 11.0, 81, 279, 9, 0.00
2021-07-30, 04, 11.1, 81, 277, 9, 0.00
2021-07-30, 05, 11.1, 82, 275, 9, 0.00
2021-07-30, 06, 11.2, 82, 273, 9, 0.00
2021-07-30, 07, 12.9, 74, 276, 10, 0.00
2021-07-30, 08, 14.7, 66, 278, 11, 0.00
2021-07-30, 09, 16.4, 58, 280, 12, 0.00
2021-07-30, 10, 17.8, 53, 286, 14, 0.00
2021-07-30, 11, 19.3, 48, 291, 15, 0.00
2021-07-30, 12, 20.7, 43, 295, 17, 0.00
2021-07-30, 13, 21.6, 41, 300, 18, 0.00
2021-07-30, 14, 22.4, 39, 304, 19, 0.00
2021-07-30, 15, 23.3, 37, 308, 20, 0.00
2021-07-30, 16, 22.8, 38, 309, 19, 0.00
2021-07-30, 17, 22.2, 40, 311, 19, 0.00
2021-07-30, 18, 21.7, 41, 312, 18, 0.00
2021-07-30, 19, 21.3, 43, 305, 15, 0.00
2021-07-30, 20, 20.9, 44, 296, 13, 0.00
2021-07-30, 21, 20.5, 46, 281, 10, 0.00
2021-07-30, 22, 18.9, 51, 292, 9, 0.00
2021-07-30, 23, 17.4, 55, 306, 9, 0.00
2021-07-31, 00, 15.8, 60, 322, 8, 0.00
2021-07-31, 01, 14.8, 65, 328, 8, 0.00
2021-07-31, 02, 13.9, 70, 335, 7, 0.00
2021-07-31, 03, 12.9, 75, 343, 7, 0.00
2021-07-31, 04, 12.4, 78, 354, 7, 0.00
2021-07-31, 05, 12.0, 81, 004, 7, 0.00
2021-07-31, 06, 11.5, 84, 014, 7, 0.00
2021-07-31, 07, 12.9, 77, 024, 8, 0.00
2021-07-31, 08, 14.2, 70, 033, 8, 0.00
2021-07-31, 09, 15.6, 63, 040, 9, 0.00
2021-07-31, 10, 16.9, 58, 047, 8, 0.00
2021-07-31, 11, 18.1, 54, 054, 8, 0.00
2021-07-31, 12, 19.4, 49, 064, 7, 0.00
2021-07-31, 13, 20.0, 47, 061, 7, 0.00
2021-07-31, 14, 20.6, 44, 058, 8, 0.00
2021-07-31, 15, 21.2, 42, 056, 8, 0.00
2021-07-31, 16, 21.2, 42, 060, 8, 0.00
2021-07-31, 17, 21.2, 42, 064, 9, 0.00
2021-07-31, 18, 21.2, 42, 068, 9, 0.00
2021-07-31, 19, 20.3, 46, 080, 9, 0.00
2021-07-31, 20, 19.4, 49, 092, 10, 0.00
2021-07-31, 21, 18.5, 53, 103, 10, 0.00
2021-07-31, 22, 16.8, 59, 111, 10, 0.00
2021-07-31, 23, 15.1, 64, 120, 10, 0.00
2021-08-01, 00, 13.4, 70, 128, 10, 0.00
2021-08-01, 01, 13.3, 69, 136, 10, 0.00
2021-08-01, 02, 13.2, 69, 144, 10, 0.00
2021-08-01, 03, 13.1, 68, 152, 10, 0.00
2021-08-01, 04, 12.0, 68, 147, 10, 0.00
2021-08-01, 05, 11.0, 67, 142, 9, 0.00
2021-08-01, 06, 9.9, 67, 137, 9, 0.00
2021-08-01, 07, 11.1, 61, 141, 11, 0.00
2021-08-01, 08, 12.2, 54, 143, 14, 0.00
2021-08-01, 09, 13.4, 48, 145, 16, 0.00
2021-08-01, 10, 13.9, 47, 140, 16, 0.00
2021-08-01, 11, 14.4, 45, 135, 16, 0.00
2021-08-01, 12, 14.9, 44, 130, 16, 0.00
2021-08-01, 13, 14.8, 44, 127, 15, 0.00
2021-08-01, 14, 14.7, 45, 124, 15, 0.00
2021-08-01, 15, 14.6, 45, 121, 14, 0.00
2021-08-01, 16, 14.4, 46, 120, 13, 0.00
2021-08-01, 17, 14.3, 46, 119, 13, 0.00
2021-08-01, 18, 14.1, 47, 117, 12, 0.00
2021-08-01, 19, 14.3, 48, 121, 11, 0.00
2021-08-01, 20, 14.4, 48, 127, 9, 0.00
2021-08-01, 21, 14.6, 49, 133, 8, 0.00
2021-08-01, 22, 13.4, 53, 140, 8, 0.00
2021-08-01, 23, 12.2, 57, 146, 9, 0.00
2021-08-02, 00, 11.0, 61, 152, 9, 0.00
2021-08-02, 01, 11.1, 59, 152, 9, 0.00
2021-08-02, 02, 11.3, 56, 153, 9, 0.00
2021-08-02, 03, 11.4, 54, 154, 9, 0.00
2021-08-02, 04, 11.3, 52, 155, 9, 0.00
2021-08-02, 05, 11.3, 50, 157, 9, 0.00
2021-08-02, 06, 11.2, 48, 158, 9, 0.00
2021-08-02, 07, 12.1, 46, 164, 11, 0.00
2021-08-02, 08, 13.0, 45, 169, 12, 0.00
2021-08-02, 09, 13.9, 43, 172, 14, 0.00
2021-08-02, 10, 14.6, 42, 181, 15, 0.00
2021-08-02, 11, 15.2, 41, 188, 17, 0.00
2021-08-02, 12, 15.9, 40, 194, 18, 0.00
2021-08-02, 13, 14.5, 48, 195, 16, 0.04
2021-08-02, 14, 13.1, 57, 195, 14, 0.04
2021-08-02, 15, 11.7, 65, 196, 12, 0.04
2021-08-02, 16, 11.2, 72, 186, 12, 0.31
2021-08-02, 17, 10.6, 80, 177, 12, 0.31
2021-08-02, 18, 10.1, 87, 168, 12, 0.31
2021-08-02, 19, 10.6, 85, 167, 12, 0.00
2021-08-02, 20, 11.0, 82, 166, 11, 0.00
2021-08-02, 21, 11.5, 80, 166, 11, 0.00
2021-08-02, 22, 10.2, 84, 163, 11, 0.00
2021-08-02, 23, 9.0, 89, 161, 11, 0.00
2021-08-03, 00, 7.7, 93, 158, 11, 0.00
2021-08-03, 01, 7.4, 91, 154, 11, 0.00
2021-08-03, 02, 7.0, 90, 149, 12, 0.00
2021-08-03, 03, 6.7, 88, 145, 12, 0.00
2021-08-03, 04, 6.6, 87, 143, 13, 0.00
2021-08-03, 05, 6.5, 87, 141, 13, 0.00
2021-08-03, 06, 6.4, 86, 139, 14, 0.00
2021-08-03, 07, 8.7, 80, 150, 15, 0.00
2021-08-03, 08, 10.9, 75, 160, 15, 0.00
2021-08-03, 09, 13.2, 69, 169, 16, 0.00
2021-08-03, 10, 15.9, 61, 187, 19, 0.00
2021-08-03, 11, 18.5, 53, 201, 21, 0.00
2021-08-03, 12, 21.2, 45, 211, 24, 0.00
2021-08-03, 13, 22.4, 42, 215, 24, 0.00
2021-08-03, 14, 23.5, 39, 220, 25, 0.00
2021-08-03, 15, 24.7, 36, 224, 25, 0.00
2021-08-03, 16, 24.6, 36, 237, 23, 0.00
2021-08-03, 17, 24.5, 37, 254, 20, 0.00
2021-08-03, 18, 24.4, 37, 275, 18, 0.00
2021-08-03, 19, 21.6, 46, 301, 19, 0.00
2021-08-03, 20, 18.9, 56, 330, 20, 0.00
2021-08-03, 21, 16.1, 65, 351, 21, 0.00
2021-08-03, 22, 14.6, 71, 351, 19, 0.00
2021-08-03, 23, 13.1, 76, 351, 17, 0.00
2021-08-04, 00, 11.6, 82, 351, 15, 0.00
